Maximum values for m = 121 and d = 6:
56 : [-1, 10, 11, -12, 21, -23, 32, -34, 43, -45, 54]
57 : [-2, 9, -13, 20, 22, -24, 31, -35, 42, -46, 53]
58 : [-3, 8, -14, 19, -25, 30, 33, -36, 41, -47, 52]
59 : [-4, 7, -15, 18, -26, 29, -37, 40, 44, -48, 51]
60 : [-5, 6, -16, 17, -27, 28, -38, 39, -49, 50, 55]
-60 : [5, -6, 16, -17, 27, -28, 38, -39, 49, -50, -55]
-59 : [4, -7, 15, -18, 26, -29, 37, -40, -44, 48, -51]
-58 : [3, -8, 14, -19, 25, -30, -33, 36, -41, 47, -52]
-57 : [2, -9, 13, -20, -22, 24, -31, 35, -42, 46, -53]
-56 : [1, -10, -11, 12, -21, 23, -32, 34, -43, 45, -54]
