For m = 529 and d = 12
The program took 0.0009942054748535156 seconds to complete. 
The number of indecomposable tuple(s) is: 22

The indecomposable tuples are:
(1, 24, 47, 70, 93, 116, 139, 162, 185, 208, 231, 254, 277, 300, 323, 346, 369, 392, 415, 438, 461, 484, 506, 507)
(2, 25, 48, 71, 94, 117, 140, 163, 186, 209, 232, 255, 278, 301, 324, 347, 370, 393, 416, 439, 462, 483, 485, 508)
(3, 26, 49, 72, 95, 118, 141, 164, 187, 210, 233, 256, 279, 302, 325, 348, 371, 394, 417, 440, 460, 463, 486, 509)
(4, 27, 50, 73, 96, 119, 142, 165, 188, 211, 234, 257, 280, 303, 326, 349, 372, 395, 418, 437, 441, 464, 487, 510)
(5, 28, 51, 74, 97, 120, 143, 166, 189, 212, 235, 258, 281, 304, 327, 350, 373, 396, 414, 419, 442, 465, 488, 511)
(6, 29, 52, 75, 98, 121, 144, 167, 190, 213, 236, 259, 282, 305, 328, 351, 374, 391, 397, 420, 443, 466, 489, 512)
(7, 30, 53, 76, 99, 122, 145, 168, 191, 214, 237, 260, 283, 306, 329, 352, 368, 375, 398, 421, 444, 467, 490, 513)
(8, 31, 54, 77, 100, 123, 146, 169, 192, 215, 238, 261, 284, 307, 330, 345, 353, 376, 399, 422, 445, 468, 491, 514)
(9, 32, 55, 78, 101, 124, 147, 170, 193, 216, 239, 262, 285, 308, 322, 331, 354, 377, 400, 423, 446, 469, 492, 515)
(10, 33, 56, 79, 102, 125, 148, 171, 194, 217, 240, 263, 286, 299, 309, 332, 355, 378, 401, 424, 447, 470, 493, 516)
(11, 34, 57, 80, 103, 126, 149, 172, 195, 218, 241, 264, 276, 287, 310, 333, 356, 379, 402, 425, 448, 471, 494, 517)
(12, 35, 58, 81, 104, 127, 150, 173, 196, 219, 242, 253, 265, 288, 311, 334, 357, 380, 403, 426, 449, 472, 495, 518)
(13, 36, 59, 82, 105, 128, 151, 174, 197, 220, 230, 243, 266, 289, 312, 335, 358, 381, 404, 427, 450, 473, 496, 519)
(14, 37, 60, 83, 106, 129, 152, 175, 198, 207, 221, 244, 267, 290, 313, 336, 359, 382, 405, 428, 451, 474, 497, 520)
(15, 38, 61, 84, 107, 130, 153, 176, 184, 199, 222, 245, 268, 291, 314, 337, 360, 383, 406, 429, 452, 475, 498, 521)
(16, 39, 62, 85, 108, 131, 154, 161, 177, 200, 223, 246, 269, 292, 315, 338, 361, 384, 407, 430, 453, 476, 499, 522)
(17, 40, 63, 86, 109, 132, 138, 155, 178, 201, 224, 247, 270, 293, 316, 339, 362, 385, 408, 431, 454, 477, 500, 523)
(18, 41, 64, 87, 110, 115, 133, 156, 179, 202, 225, 248, 271, 294, 317, 340, 363, 386, 409, 432, 455, 478, 501, 524)
(19, 42, 65, 88, 92, 111, 134, 157, 180, 203, 226, 249, 272, 295, 318, 341, 364, 387, 410, 433, 456, 479, 502, 525)
(20, 43, 66, 69, 89, 112, 135, 158, 181, 204, 227, 250, 273, 296, 319, 342, 365, 388, 411, 434, 457, 480, 503, 526)
(21, 44, 46, 67, 90, 113, 136, 159, 182, 205, 228, 251, 274, 297, 320, 343, 366, 389, 412, 435, 458, 481, 504, 527)
(22, 23, 45, 68, 91, 114, 137, 160, 183, 206, 229, 252, 275, 298, 321, 344, 367, 390, 413, 436, 459, 482, 505, 528)
