For m = 289 and d = 9
The program took 0.001009225845336914 seconds to complete. 
The number of indecomposable tuple(s) is: 16

The indecomposable tuples are:
(1, 18, 35, 52, 69, 86, 103, 120, 137, 154, 171, 188, 205, 222, 239, 256, 272, 273)
(2, 19, 36, 53, 70, 87, 104, 121, 138, 155, 172, 189, 206, 223, 240, 255, 257, 274)
(3, 20, 37, 54, 71, 88, 105, 122, 139, 156, 173, 190, 207, 224, 238, 241, 258, 275)
(4, 21, 38, 55, 72, 89, 106, 123, 140, 157, 174, 191, 208, 221, 225, 242, 259, 276)
(5, 22, 39, 56, 73, 90, 107, 124, 141, 158, 175, 192, 204, 209, 226, 243, 260, 277)
(6, 23, 40, 57, 74, 91, 108, 125, 142, 159, 176, 187, 193, 210, 227, 244, 261, 278)
(7, 24, 41, 58, 75, 92, 109, 126, 143, 160, 170, 177, 194, 211, 228, 245, 262, 279)
(8, 25, 42, 59, 76, 93, 110, 127, 144, 153, 161, 178, 195, 212, 229, 246, 263, 280)
(9, 26, 43, 60, 77, 94, 111, 128, 136, 145, 162, 179, 196, 213, 230, 247, 264, 281)
(10, 27, 44, 61, 78, 95, 112, 119, 129, 146, 163, 180, 197, 214, 231, 248, 265, 282)
(11, 28, 45, 62, 79, 96, 102, 113, 130, 147, 164, 181, 198, 215, 232, 249, 266, 283)
(12, 29, 46, 63, 80, 85, 97, 114, 131, 148, 165, 182, 199, 216, 233, 250, 267, 284)
(13, 30, 47, 64, 68, 81, 98, 115, 132, 149, 166, 183, 200, 217, 234, 251, 268, 285)
(14, 31, 48, 51, 65, 82, 99, 116, 133, 150, 167, 184, 201, 218, 235, 252, 269, 286)
(15, 32, 34, 49, 66, 83, 100, 117, 134, 151, 168, 185, 202, 219, 236, 253, 270, 287)
(16, 17, 33, 50, 67, 84, 101, 118, 135, 152, 169, 186, 203, 220, 237, 254, 271, 288)
