For m = 169 and d = 7
The program took 0.0 seconds to complete. 
The number of indecomposable tuple(s) is: 12

The indecomposable tuples are:
(1, 14, 27, 40, 53, 66, 79, 92, 105, 118, 131, 144, 156, 157)
(2, 15, 28, 41, 54, 67, 80, 93, 106, 119, 132, 143, 145, 158)
(3, 16, 29, 42, 55, 68, 81, 94, 107, 120, 130, 133, 146, 159)
(4, 17, 30, 43, 56, 69, 82, 95, 108, 117, 121, 134, 147, 160)
(5, 18, 31, 44, 57, 70, 83, 96, 104, 109, 122, 135, 148, 161)
(6, 19, 32, 45, 58, 71, 84, 91, 97, 110, 123, 136, 149, 162)
(7, 20, 33, 46, 59, 72, 78, 85, 98, 111, 124, 137, 150, 163)
(8, 21, 34, 47, 60, 65, 73, 86, 99, 112, 125, 138, 151, 164)
(9, 22, 35, 48, 52, 61, 74, 87, 100, 113, 126, 139, 152, 165)
(10, 23, 36, 39, 49, 62, 75, 88, 101, 114, 127, 140, 153, 166)
(11, 24, 26, 37, 50, 63, 76, 89, 102, 115, 128, 141, 154, 167)
(12, 13, 25, 38, 51, 64, 77, 90, 103, 116, 129, 142, 155, 168)
