Running method validate_set_V(m = 75, d = 6) and generating using halves:

Summary:
given m = 75, d = 6
Calculations took 0 days, 10 hours, 34 minutes, 12 seconds, 112 miliseconds, 652 microseconds, 700 nanoseconds.
Z/mZ:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]
Z/mZ*: [64, 1, 2, 67, 4, 68, 7, 71, 8, 73, 74, 11, 13, 14, 16, 17, 19, 22, 23, 26, 28, 29, 31, 32, 34, 37, 38, 41, 43, 44, 46, 47, 49, 52, 53, 56, 58, 59, 61, 62]
All ascending & non-repeating tuple (size 12) combinations possible for the U set: 21944067106416
                      V set: contains 4044928 tuples
          all_are_pairs set: contains 2324784 tuples
         some_are_pairs set: contains 1711616 tuples
         none_are_pairs set: contains 8528 tuples
         indecomposable set: contains 0 tuples
decomposable & no pairs set: contains 8528 tuples
     exceptional_cycles set: contains 1720144 tuples

Print none_are_pairs (contains 8528 tuples): {
(5, 11, 18, 26, 29, 36, 41, 44, 51, 60, 63, 66)
(1, 13, 20, 26, 28, 35, 38, 50, 53, 54, 63, 69)
(2, 10, 17, 24, 25, 27, 42, 52, 55, 60, 67, 69)
(10, 18, 21, 22, 25, 37, 40, 43, 45, 52, 67, 70)
(2, 3, 6, 17, 21, 31, 53, 56, 62, 65, 66, 68)
(4, 8, 10, 25, 27, 29, 49, 54, 55, 57, 58, 74)
(1, 13, 26, 28, 30, 31, 38, 43, 53, 56, 63, 68)
(2, 3, 8, 18, 33, 35, 39, 53, 60, 62, 68, 69)
(8, 9, 10, 31, 33, 35, 39, 54, 56, 57, 58, 60)
(5, 14, 18, 19, 21, 33, 44, 51, 55, 60, 64, 66)
(1, 11, 18, 25, 26, 36, 40, 48, 51, 61, 63, 70)
(10, 12, 14, 24, 25, 27, 39, 49, 55, 57, 64, 74)
(1, 7, 11, 26, 32, 36, 48, 51, 54, 60, 61, 63)
(2, 13, 14, 21, 27, 33, 38, 46, 52, 64, 69, 71)
(3, 18, 24, 28, 30, 37, 39, 40, 43, 48, 67, 73)
(7, 8, 11, 19, 32, 36, 44, 51, 54, 58, 61, 69)
(5, 8, 16, 27, 30, 33, 41, 50, 51, 58, 65, 66)
