1,36,71,106,141,176,211,246,281,316,351,386,421,456,491,526,561,596,-594,-559,-524,-489,-454,-419,-384,-349,-314,-279,-244,-209,-174,-139,-104,-69,-35,-34
2,37,72,107,142,177,212,247,282,317,352,387,422,457,492,527,562,597,-593,-558,-523,-488,-453,-418,-383,-348,-313,-278,-243,-208,-173,-138,-103,-70,-68,-33
3,38,73,108,143,178,213,248,283,318,353,388,423,458,493,528,563,598,-592,-557,-522,-487,-452,-417,-382,-347,-312,-277,-242,-207,-172,-137,-105,-102,-67,-32
4,39,74,109,144,179,214,249,284,319,354,389,424,459,494,529,564,599,-591,-556,-521,-486,-451,-416,-381,-346,-311,-276,-241,-206,-171,-140,-136,-101,-66,-31
5,40,75,110,145,180,215,250,285,320,355,390,425,460,495,530,565,600,-590,-555,-520,-485,-450,-415,-380,-345,-310,-275,-240,-205,-175,-170,-135,-100,-65,-30
6,41,76,111,146,181,216,251,286,321,356,391,426,461,496,531,566,601,-589,-554,-519,-484,-449,-414,-379,-344,-309,-274,-239,-210,-204,-169,-134,-99,-64,-29
7,42,77,112,147,182,217,252,287,322,357,392,427,462,497,532,567,602,-588,-553,-518,-483,-448,-413,-378,-343,-308,-273,-245,-238,-203,-168,-133,-98,-63,-28
8,43,78,113,148,183,218,253,288,323,358,393,428,463,498,533,568,603,-587,-552,-517,-482,-447,-412,-377,-342,-307,-280,-272,-237,-202,-167,-132,-97,-62,-27
9,44,79,114,149,184,219,254,289,324,359,394,429,464,499,534,569,604,-586,-551,-516,-481,-446,-411,-376,-341,-315,-306,-271,-236,-201,-166,-131,-96,-61,-26
10,45,80,115,150,185,220,255,290,325,360,395,430,465,500,535,570,605,-585,-550,-515,-480,-445,-410,-375,-350,-340,-305,-270,-235,-200,-165,-130,-95,-60,-25
11,46,81,116,151,186,221,256,291,326,361,396,431,466,501,536,571,606,-584,-549,-514,-479,-444,-409,-385,-374,-339,-304,-269,-234,-199,-164,-129,-94,-59,-24
12,47,82,117,152,187,222,257,292,327,362,397,432,467,502,537,572,607,-583,-548,-513,-478,-443,-420,-408,-373,-338,-303,-268,-233,-198,-163,-128,-93,-58,-23
13,48,83,118,153,188,223,258,293,328,363,398,433,468,503,538,573,608,-582,-547,-512,-477,-455,-442,-407,-372,-337,-302,-267,-232,-197,-162,-127,-92,-57,-22
14,49,84,119,154,189,224,259,294,329,364,399,434,469,504,539,574,609,-581,-546,-511,-490,-476,-441,-406,-371,-336,-301,-266,-231,-196,-161,-126,-91,-56,-21
15,50,85,120,155,190,225,260,295,330,365,400,435,470,505,540,575,610,-580,-545,-525,-510,-475,-440,-405,-370,-335,-300,-265,-230,-195,-160,-125,-90,-55,-20
16,51,86,121,156,191,226,261,296,331,366,401,436,471,506,541,576,611,-579,-560,-544,-509,-474,-439,-404,-369,-334,-299,-264,-229,-194,-159,-124,-89,-54,-19
17,52,87,122,157,192,227,262,297,332,367,402,437,472,507,542,577,612,-595,-578,-543,-508,-473,-438,-403,-368,-333,-298,-263,-228,-193,-158,-123,-88,-53,-18
18,53,88,123,158,193,228,263,298,333,368,403,438,473,508,543,578,595,-612,-577,-542,-507,-472,-437,-402,-367,-332,-297,-262,-227,-192,-157,-122,-87,-52,-17
19,54,89,124,159,194,229,264,299,334,369,404,439,474,509,544,560,579,-611,-576,-541,-506,-471,-436,-401,-366,-331,-296,-261,-226,-191,-156,-121,-86,-51,-16
20,55,90,125,160,195,230,265,300,335,370,405,440,475,510,525,545,580,-610,-575,-540,-505,-470,-435,-400,-365,-330,-295,-260,-225,-190,-155,-120,-85,-50,-15
21,56,91,126,161,196,231,266,301,336,371,406,441,476,490,511,546,581,-609,-574,-539,-504,-469,-434,-399,-364,-329,-294,-259,-224,-189,-154,-119,-84,-49,-14
22,57,92,127,162,197,232,267,302,337,372,407,442,455,477,512,547,582,-608,-573,-538,-503,-468,-433,-398,-363,-328,-293,-258,-223,-188,-153,-118,-83,-48,-13
23,58,93,128,163,198,233,268,303,338,373,408,420,443,478,513,548,583,-607,-572,-537,-502,-467,-432,-397,-362,-327,-292,-257,-222,-187,-152,-117,-82,-47,-12
24,59,94,129,164,199,234,269,304,339,374,385,409,444,479,514,549,584,-606,-571,-536,-501,-466,-431,-396,-361,-326,-291,-256,-221,-186,-151,-116,-81,-46,-11
25,60,95,130,165,200,235,270,305,340,350,375,410,445,480,515,550,585,-605,-570,-535,-500,-465,-430,-395,-360,-325,-290,-255,-220,-185,-150,-115,-80,-45,-10
26,61,96,131,166,201,236,271,306,315,341,376,411,446,481,516,551,586,-604,-569,-534,-499,-464,-429,-394,-359,-324,-289,-254,-219,-184,-149,-114,-79,-44,-9
27,62,97,132,167,202,237,272,280,307,342,377,412,447,482,517,552,587,-603,-568,-533,-498,-463,-428,-393,-358,-323,-288,-253,-218,-183,-148,-113,-78,-43,-8
28,63,98,133,168,203,238,245,273,308,343,378,413,448,483,518,553,588,-602,-567,-532,-497,-462,-427,-392,-357,-322,-287,-252,-217,-182,-147,-112,-77,-42,-7
29,64,99,134,169,204,210,239,274,309,344,379,414,449,484,519,554,589,-601,-566,-531,-496,-461,-426,-391,-356,-321,-286,-251,-216,-181,-146,-111,-76,-41,-6
30,65,100,135,170,175,205,240,275,310,345,380,415,450,485,520,555,590,-600,-565,-530,-495,-460,-425,-390,-355,-320,-285,-250,-215,-180,-145,-110,-75,-40,-5
31,66,101,136,140,171,206,241,276,311,346,381,416,451,486,521,556,591,-599,-564,-529,-494,-459,-424,-389,-354,-319,-284,-249,-214,-179,-144,-109,-74,-39,-4
32,67,102,105,137,172,207,242,277,312,347,382,417,452,487,522,557,592,-598,-563,-528,-493,-458,-423,-388,-353,-318,-283,-248,-213,-178,-143,-108,-73,-38,-3
33,68,70,103,138,173,208,243,278,313,348,383,418,453,488,523,558,593,-597,-562,-527,-492,-457,-422,-387,-352,-317,-282,-247,-212,-177,-142,-107,-72,-37,-2
34,35,69,104,139,174,209,244,279,314,349,384,419,454,489,524,559,594,-596,-561,-526,-491,-456,-421,-386,-351,-316,-281,-246,-211,-176,-141,-106,-71,-36,-1
