1,40,79,118,157,196,235,274,313,352,391,430,469,508,547,586,625,664,703,742,-740,-701,-662,-623,-584,-545,-506,-467,-428,-389,-350,-311,-272,-233,-194,-155,-116,-77,-39,-38
15,54,93,132,171,210,249,288,327,366,405,444,483,522,561,600,639,678,717,756,-726,-687,-648,-609,-585,-570,-531,-492,-453,-414,-375,-336,-297,-258,-219,-180,-141,-102,-63,-24
16,55,94,133,172,211,250,289,328,367,406,445,484,523,562,601,640,679,718,757,-725,-686,-647,-624,-608,-569,-530,-491,-452,-413,-374,-335,-296,-257,-218,-179,-140,-101,-62,-23
17,56,95,134,173,212,251,290,329,368,407,446,485,524,563,602,641,680,719,758,-724,-685,-663,-646,-607,-568,-529,-490,-451,-412,-373,-334,-295,-256,-217,-178,-139,-100,-61,-22
18,57,96,135,174,213,252,291,330,369,408,447,486,525,564,603,642,681,720,759,-723,-702,-684,-645,-606,-567,-528,-489,-450,-411,-372,-333,-294,-255,-216,-177,-138,-99,-60,-21
19,58,97,136,175,214,253,292,331,370,409,448,487,526,565,604,643,682,721,760,-741,-722,-683,-644,-605,-566,-527,-488,-449,-410,-371,-332,-293,-254,-215,-176,-137,-98,-59,-20
20,59,98,137,176,215,254,293,332,371,410,449,488,527,566,605,644,683,722,741,-760,-721,-682,-643,-604,-565,-526,-487,-448,-409,-370,-331,-292,-253,-214,-175,-136,-97,-58,-19
21,60,99,138,177,216,255,294,333,372,411,450,489,528,567,606,645,684,702,723,-759,-720,-681,-642,-603,-564,-525,-486,-447,-408,-369,-330,-291,-252,-213,-174,-135,-96,-57,-18
22,61,100,139,178,217,256,295,334,373,412,451,490,529,568,607,646,663,685,724,-758,-719,-680,-641,-602,-563,-524,-485,-446,-407,-368,-329,-290,-251,-212,-173,-134,-95,-56,-17
23,62,101,140,179,218,257,296,335,374,413,452,491,530,569,608,624,647,686,725,-757,-718,-679,-640,-601,-562,-523,-484,-445,-406,-367,-328,-289,-250,-211,-172,-133,-94,-55,-16
24,63,102,141,180,219,258,297,336,375,414,453,492,531,570,585,609,648,687,726,-756,-717,-678,-639,-600,-561,-522,-483,-444,-405,-366,-327,-288,-249,-210,-171,-132,-93,-54,-15
25,64,103,142,181,220,259,298,337,376,415,454,493,532,546,571,610,649,688,727,-755,-716,-677,-638,-599,-560,-521,-482,-443,-404,-365,-326,-287,-248,-209,-170,-131,-92,-53,-14
26,65,104,143,182,221,260,299,338,377,416,455,494,507,533,572,611,650,689,728,-754,-715,-676,-637,-598,-559,-520,-481,-442,-403,-364,-325,-286,-247,-208,-169,-130,-91,-52,-13
27,66,105,144,183,222,261,300,339,378,417,456,468,495,534,573,612,651,690,729,-753,-714,-675,-636,-597,-558,-519,-480,-441,-402,-363,-324,-285,-246,-207,-168,-129,-90,-51,-12
28,67,106,145,184,223,262,301,340,379,418,429,457,496,535,574,613,652,691,730,-752,-713,-674,-635,-596,-557,-518,-479,-440,-401,-362,-323,-284,-245,-206,-167,-128,-89,-50,-11
29,68,107,146,185,224,263,302,341,380,390,419,458,497,536,575,614,653,692,731,-751,-712,-673,-634,-595,-556,-517,-478,-439,-400,-361,-322,-283,-244,-205,-166,-127,-88,-49,-10
30,69,108,147,186,225,264,303,342,351,381,420,459,498,537,576,615,654,693,732,-750,-711,-672,-633,-594,-555,-516,-477,-438,-399,-360,-321,-282,-243,-204,-165,-126,-87,-48,-9
31,70,109,148,187,226,265,304,312,343,382,421,460,499,538,577,616,655,694,733,-749,-710,-671,-632,-593,-554,-515,-476,-437,-398,-359,-320,-281,-242,-203,-164,-125,-86,-47,-8
32,71,110,149,188,227,266,273,305,344,383,422,461,500,539,578,617,656,695,734,-748,-709,-670,-631,-592,-553,-514,-475,-436,-397,-358,-319,-280,-241,-202,-163,-124,-85,-46,-7
33,72,111,150,189,228,234,267,306,345,384,423,462,501,540,579,618,657,696,735,-747,-708,-669,-630,-591,-552,-513,-474,-435,-396,-357,-318,-279,-240,-201,-162,-123,-84,-45,-6
34,73,112,151,190,195,229,268,307,346,385,424,463,502,541,580,619,658,697,736,-746,-707,-668,-629,-590,-551,-512,-473,-434,-395,-356,-317,-278,-239,-200,-161,-122,-83,-44,-5
35,74,113,152,156,191,230,269,308,347,386,425,464,503,542,581,620,659,698,737,-745,-706,-667,-628,-589,-550,-511,-472,-433,-394,-355,-316,-277,-238,-199,-160,-121,-82,-43,-4
36,75,114,117,153,192,231,270,309,348,387,426,465,504,543,582,621,660,699,738,-744,-705,-666,-627,-588,-549,-510,-471,-432,-393,-354,-315,-276,-237,-198,-159,-120,-81,-42,-3
37,76,78,115,154,193,232,271,310,349,388,427,466,505,544,583,622,661,700,739,-743,-704,-665,-626,-587,-548,-509,-470,-431,-392,-353,-314,-275,-236,-197,-158,-119,-80,-41,-2
38,39,77,116,155,194,233,272,311,350,389,428,467,506,545,584,623,662,701,740,-742,-703,-664,-625,-586,-547,-508,-469,-430,-391,-352,-313,-274,-235,-196,-157,-118,-79,-40,-1
