1,28,55,82,109,136,163,190,217,244,271,298,325,352,-350,-323,-296,-269,-242,-215,-188,-161,-134,-107,-80,-53,-27,-26
2,29,56,83,110,137,164,191,218,245,272,299,326,353,-349,-322,-295,-268,-241,-214,-187,-160,-133,-106,-79,-54,-52,-25
3,30,57,84,111,138,165,192,219,246,273,300,327,354,-348,-321,-294,-267,-240,-213,-186,-159,-132,-105,-81,-78,-51,-24
4,31,58,85,112,139,166,193,220,247,274,301,328,355,-347,-320,-293,-266,-239,-212,-185,-158,-131,-108,-104,-77,-50,-23
5,32,59,86,113,140,167,194,221,248,275,302,329,356,-346,-319,-292,-265,-238,-211,-184,-157,-135,-130,-103,-76,-49,-22
6,33,60,87,114,141,168,195,222,249,276,303,330,357,-345,-318,-291,-264,-237,-210,-183,-162,-156,-129,-102,-75,-48,-21
7,34,61,88,115,142,169,196,223,250,277,304,331,358,-344,-317,-290,-263,-236,-209,-189,-182,-155,-128,-101,-74,-47,-20
8,35,62,89,116,143,170,197,224,251,278,305,332,359,-343,-316,-289,-262,-235,-216,-208,-181,-154,-127,-100,-73,-46,-19
9,36,63,90,117,144,171,198,225,252,279,306,333,360,-342,-315,-288,-261,-243,-234,-207,-180,-153,-126,-99,-72,-45,-18
10,37,64,91,118,145,172,199,226,253,280,307,334,361,-341,-314,-287,-270,-260,-233,-206,-179,-152,-125,-98,-71,-44,-17
11,38,65,92,119,146,173,200,227,254,281,308,335,362,-340,-313,-297,-286,-259,-232,-205,-178,-151,-124,-97,-70,-43,-16
12,39,66,93,120,147,174,201,228,255,282,309,336,363,-339,-324,-312,-285,-258,-231,-204,-177,-150,-123,-96,-69,-42,-15
13,40,67,94,121,148,175,202,229,256,283,310,337,364,-351,-338,-311,-284,-257,-230,-203,-176,-149,-122,-95,-68,-41,-14
14,41,68,95,122,149,176,203,230,257,284,311,338,351,-364,-337,-310,-283,-256,-229,-202,-175,-148,-121,-94,-67,-40,-13
15,42,69,96,123,150,177,204,231,258,285,312,324,339,-363,-336,-309,-282,-255,-228,-201,-174,-147,-120,-93,-66,-39,-12
16,43,70,97,124,151,178,205,232,259,286,297,313,340,-362,-335,-308,-281,-254,-227,-200,-173,-146,-119,-92,-65,-38,-11
17,44,71,98,125,152,179,206,233,260,270,287,314,341,-361,-334,-307,-280,-253,-226,-199,-172,-145,-118,-91,-64,-37,-10
18,45,72,99,126,153,180,207,234,243,261,288,315,342,-360,-333,-306,-279,-252,-225,-198,-171,-144,-117,-90,-63,-36,-9
19,46,73,100,127,154,181,208,216,235,262,289,316,343,-359,-332,-305,-278,-251,-224,-197,-170,-143,-116,-89,-62,-35,-8
20,47,74,101,128,155,182,189,209,236,263,290,317,344,-358,-331,-304,-277,-250,-223,-196,-169,-142,-115,-88,-61,-34,-7
21,48,75,102,129,156,162,183,210,237,264,291,318,345,-357,-330,-303,-276,-249,-222,-195,-168,-141,-114,-87,-60,-33,-6
22,49,76,103,130,135,157,184,211,238,265,292,319,346,-356,-329,-302,-275,-248,-221,-194,-167,-140,-113,-86,-59,-32,-5
23,50,77,104,108,131,158,185,212,239,266,293,320,347,-355,-328,-301,-274,-247,-220,-193,-166,-139,-112,-85,-58,-31,-4
24,51,78,81,105,132,159,186,213,240,267,294,321,348,-354,-327,-300,-273,-246,-219,-192,-165,-138,-111,-84,-57,-30,-3
25,52,54,79,106,133,160,187,214,241,268,295,322,349,-353,-326,-299,-272,-245,-218,-191,-164,-137,-110,-83,-56,-29,-2
26,27,53,80,107,134,161,188,215,242,269,296,323,350,-352,-325,-298,-271,-244,-217,-190,-163,-136,-109,-82,-55,-28,-1
