-1,-12,-23,-34,-45,54,43,32,21,11,10
-2,-13,-24,-35,-46,53,42,31,22,20,9
-3,-14,-25,-36,-47,52,41,33,30,19,8
-4,-15,-26,-37,-48,51,44,40,29,18,7
-5,-16,-27,-38,-49,55,50,39,28,17,6
