1,16,31,46,61,76,91,106,-104,-89,-74,-59,-44,-29,-15,-14,MAX=106
2,17,32,47,62,77,92,107,-103,-88,-73,-58,-43,-30,-28,-13,MAX=107
3,18,33,48,63,78,93,108,-102,-87,-72,-57,-45,-42,-27,-12,MAX=108
4,19,34,49,64,79,94,109,-101,-86,-71,-60,-56,-41,-26,-11,MAX=109
5,20,35,50,65,80,95,110,-100,-85,-75,-70,-55,-40,-25,-10,MAX=110
6,21,36,51,66,81,96,111,-99,-90,-84,-69,-54,-39,-24,-9,MAX=111
7,22,37,52,67,82,97,112,-105,-98,-83,-68,-53,-38,-23,-8,MAX=112
8,23,38,53,68,83,98,105,-112,-97,-82,-67,-52,-37,-22,-7,MAX=-112
9,24,39,54,69,84,90,99,-111,-96,-81,-66,-51,-36,-21,-6,MAX=-111
10,25,40,55,70,75,85,100,-110,-95,-80,-65,-50,-35,-20,-5,MAX=-110
11,26,41,56,60,71,86,101,-109,-94,-79,-64,-49,-34,-19,-4,MAX=-109
12,27,42,45,57,72,87,102,-108,-93,-78,-63,-48,-33,-18,-3,MAX=-108
13,28,30,43,58,73,88,103,-107,-92,-77,-62,-47,-32,-17,-2,MAX=-107
14,15,29,44,59,74,89,104,-106,-91,-76,-61,-46,-31,-16,-1,MAX=-106
