1,22,43,64,85,106,127,148,169,190,211,-209,-188,-167,-146,-125,-104,-83,-62,-41,-21,-20,MAX=211
2,23,44,65,86,107,128,149,170,191,212,-208,-187,-166,-145,-124,-103,-82,-61,-42,-40,-19,MAX=212
3,24,45,66,87,108,129,150,171,192,213,-207,-186,-165,-144,-123,-102,-81,-63,-60,-39,-18,MAX=213
4,25,46,67,88,109,130,151,172,193,214,-206,-185,-164,-143,-122,-101,-84,-80,-59,-38,-17,MAX=214
5,26,47,68,89,110,131,152,173,194,215,-205,-184,-163,-142,-121,-105,-100,-79,-58,-37,-16,MAX=215
6,27,48,69,90,111,132,153,174,195,216,-204,-183,-162,-141,-126,-120,-99,-78,-57,-36,-15,MAX=216
7,28,49,70,91,112,133,154,175,196,217,-203,-182,-161,-147,-140,-119,-98,-77,-56,-35,-14,MAX=217
8,29,50,71,92,113,134,155,176,197,218,-202,-181,-168,-160,-139,-118,-97,-76,-55,-34,-13,MAX=218
9,30,51,72,93,114,135,156,177,198,219,-201,-189,-180,-159,-138,-117,-96,-75,-54,-33,-12,MAX=219
10,31,52,73,94,115,136,157,178,199,220,-210,-200,-179,-158,-137,-116,-95,-74,-53,-32,-11,MAX=220
11,32,53,74,95,116,137,158,179,200,210,-220,-199,-178,-157,-136,-115,-94,-73,-52,-31,-10,MAX=-220
12,33,54,75,96,117,138,159,180,189,201,-219,-198,-177,-156,-135,-114,-93,-72,-51,-30,-9,MAX=-219
13,34,55,76,97,118,139,160,168,181,202,-218,-197,-176,-155,-134,-113,-92,-71,-50,-29,-8,MAX=-218
14,35,56,77,98,119,140,147,161,182,203,-217,-196,-175,-154,-133,-112,-91,-70,-49,-28,-7,MAX=-217
15,36,57,78,99,120,126,141,162,183,204,-216,-195,-174,-153,-132,-111,-90,-69,-48,-27,-6,MAX=-216
16,37,58,79,100,105,121,142,163,184,205,-215,-194,-173,-152,-131,-110,-89,-68,-47,-26,-5,MAX=-215
17,38,59,80,84,101,122,143,164,185,206,-214,-193,-172,-151,-130,-109,-88,-67,-46,-25,-4,MAX=-214
18,39,60,63,81,102,123,144,165,186,207,-213,-192,-171,-150,-129,-108,-87,-66,-45,-24,-3,MAX=-213
19,40,42,61,82,103,124,145,166,187,208,-212,-191,-170,-149,-128,-107,-86,-65,-44,-23,-2,MAX=-212
20,21,41,62,83,104,125,146,167,188,209,-211,-190,-169,-148,-127,-106,-85,-64,-43,-22,-1,MAX=-211
