1,8,15,22,-20,-13,-7,-6,MAX=22
2,9,16,23,-19,-14,-12,-5,MAX=23
3,10,17,24,-21,-18,-11,-4,MAX=24
4,11,18,21,-24,-17,-10,-3,MAX=-24
5,12,14,19,-23,-16,-9,-2,MAX=-23
6,7,13,20,-22,-15,-8,-1,MAX=-22
