1,30,59,88,117,146,175,204,233,262,291,320,349,378,407,436,465,494,523,552,581,610,639,668,697,726,755,784,812,813
2,31,60,89,118,147,176,205,234,263,292,321,350,379,408,437,466,495,524,553,582,611,640,669,698,727,756,783,785,814
3,32,61,90,119,148,177,206,235,264,293,322,351,380,409,438,467,496,525,554,583,612,641,670,699,728,754,757,786,815
4,33,62,91,120,149,178,207,236,265,294,323,352,381,410,439,468,497,526,555,584,613,642,671,700,725,729,758,787,816
5,34,63,92,121,150,179,208,237,266,295,324,353,382,411,440,469,498,527,556,585,614,643,672,696,701,730,759,788,817
6,35,64,93,122,151,180,209,238,267,296,325,354,383,412,441,470,499,528,557,586,615,644,667,673,702,731,760,789,818
7,36,65,94,123,152,181,210,239,268,297,326,355,384,413,442,471,500,529,558,587,616,638,645,674,703,732,761,790,819
8,37,66,95,124,153,182,211,240,269,298,327,356,385,414,443,472,501,530,559,588,609,617,646,675,704,733,762,791,820
9,38,67,96,125,154,183,212,241,270,299,328,357,386,415,444,473,502,531,560,580,589,618,647,676,705,734,763,792,821
10,39,68,97,126,155,184,213,242,271,300,329,358,387,416,445,474,503,532,551,561,590,619,648,677,706,735,764,793,822
11,40,69,98,127,156,185,214,243,272,301,330,359,388,417,446,475,504,522,533,562,591,620,649,678,707,736,765,794,823
12,41,70,99,128,157,186,215,244,273,302,331,360,389,418,447,476,493,505,534,563,592,621,650,679,708,737,766,795,824
13,42,71,100,129,158,187,216,245,274,303,332,361,390,419,448,464,477,506,535,564,593,622,651,680,709,738,767,796,825
14,43,72,101,130,159,188,217,246,275,304,333,362,391,420,435,449,478,507,536,565,594,623,652,681,710,739,768,797,826
