1,24,47,70,93,116,139,162,185,208,231,254,277,300,323,346,369,392,415,438,461,484,506,507
2,25,48,71,94,117,140,163,186,209,232,255,278,301,324,347,370,393,416,439,462,483,485,508
3,26,49,72,95,118,141,164,187,210,233,256,279,302,325,348,371,394,417,440,460,463,486,509
4,27,50,73,96,119,142,165,188,211,234,257,280,303,326,349,372,395,418,437,441,464,487,510
5,28,51,74,97,120,143,166,189,212,235,258,281,304,327,350,373,396,414,419,442,465,488,511
6,29,52,75,98,121,144,167,190,213,236,259,282,305,328,351,374,391,397,420,443,466,489,512
7,30,53,76,99,122,145,168,191,214,237,260,283,306,329,352,368,375,398,421,444,467,490,513
8,31,54,77,100,123,146,169,192,215,238,261,284,307,330,345,353,376,399,422,445,468,491,514
9,32,55,78,101,124,147,170,193,216,239,262,285,308,322,331,354,377,400,423,446,469,492,515
10,33,56,79,102,125,148,171,194,217,240,263,286,299,309,332,355,378,401,424,447,470,493,516
11,34,57,80,103,126,149,172,195,218,241,264,276,287,310,333,356,379,402,425,448,471,494,517
