Maximum values for m = 841 and d = 15:
407 : [-1, 28, 29, -30, 57, -59, 86, -88, 115, -117, 144, -146, 173, -175, 202, -204, 231, -233, 260, -262, 289, -291, 318, -320, 347, -349, 376, -378, 405]
408 : [-2, 27, -31, 56, 58, -60, 85, -89, 114, -118, 143, -147, 172, -176, 201, -205, 230, -234, 259, -263, 288, -292, 317, -321, 346, -350, 375, -379, 404]
409 : [-3, 26, -32, 55, -61, 84, 87, -90, 113, -119, 142, -148, 171, -177, 200, -206, 229, -235, 258, -264, 287, -293, 316, -322, 345, -351, 374, -380, 403]
410 : [-4, 25, -33, 54, -62, 83, -91, 112, 116, -120, 141, -149, 170, -178, 199, -207, 228, -236, 257, -265, 286, -294, 315, -323, 344, -352, 373, -381, 402]
411 : [-5, 24, -34, 53, -63, 82, -92, 111, -121, 140, 145, -150, 169, -179, 198, -208, 227, -237, 256, -266, 285, -295, 314, -324, 343, -353, 372, -382, 401]
412 : [-6, 23, -35, 52, -64, 81, -93, 110, -122, 139, -151, 168, 174, -180, 197, -209, 226, -238, 255, -267, 284, -296, 313, -325, 342, -354, 371, -383, 400]
413 : [-7, 22, -36, 51, -65, 80, -94, 109, -123, 138, -152, 167, -181, 196, 203, -210, 225, -239, 254, -268, 283, -297, 312, -326, 341, -355, 370, -384, 399]
414 : [-8, 21, -37, 50, -66, 79, -95, 108, -124, 137, -153, 166, -182, 195, -211, 224, 232, -240, 253, -269, 282, -298, 311, -327, 340, -356, 369, -385, 398]
415 : [-9, 20, -38, 49, -67, 78, -96, 107, -125, 136, -154, 165, -183, 194, -212, 223, -241, 252, 261, -270, 281, -299, 310, -328, 339, -357, 368, -386, 397]
416 : [-10, 19, -39, 48, -68, 77, -97, 106, -126, 135, -155, 164, -184, 193, -213, 222, -242, 251, -271, 280, 290, -300, 309, -329, 338, -358, 367, -387, 396]
417 : [-11, 18, -40, 47, -69, 76, -98, 105, -127, 134, -156, 163, -185, 192, -214, 221, -243, 250, -272, 279, -301, 308, 319, -330, 337, -359, 366, -388, 395]
418 : [-12, 17, -41, 46, -70, 75, -99, 104, -128, 133, -157, 162, -186, 191, -215, 220, -244, 249, -273, 278, -302, 307, -331, 336, 348, -360, 365, -389, 394]
419 : [-13, 16, -42, 45, -71, 74, -100, 103, -129, 132, -158, 161, -187, 190, -216, 219, -245, 248, -274, 277, -303, 306, -332, 335, -361, 364, 377, -390, 393]
420 : [-14, 15, -43, 44, -72, 73, -101, 102, -130, 131, -159, 160, -188, 189, -217, 218, -246, 247, -275, 276, -304, 305, -333, 334, -362, 363, -391, 392, 406]
-420 : [14, -15, 43, -44, 72, -73, 101, -102, 130, -131, 159, -160, 188, -189, 217, -218, 246, -247, 275, -276, 304, -305, 333, -334, 362, -363, 391, -392, -406]
-419 : [13, -16, 42, -45, 71, -74, 100, -103, 129, -132, 158, -161, 187, -190, 216, -219, 245, -248, 274, -277, 303, -306, 332, -335, 361, -364, -377, 390, -393]
-418 : [12, -17, 41, -46, 70, -75, 99, -104, 128, -133, 157, -162, 186, -191, 215, -220, 244, -249, 273, -278, 302, -307, 331, -336, -348, 360, -365, 389, -394]
-417 : [11, -18, 40, -47, 69, -76, 98, -105, 127, -134, 156, -163, 185, -192, 214, -221, 243, -250, 272, -279, 301, -308, -319, 330, -337, 359, -366, 388, -395]
-416 : [10, -19, 39, -48, 68, -77, 97, -106, 126, -135, 155, -164, 184, -193, 213, -222, 242, -251, 271, -280, -290, 300, -309, 329, -338, 358, -367, 387, -396]
-415 : [9, -20, 38, -49, 67, -78, 96, -107, 125, -136, 154, -165, 183, -194, 212, -223, 241, -252, -261, 270, -281, 299, -310, 328, -339, 357, -368, 386, -397]
-414 : [8, -21, 37, -50, 66, -79, 95, -108, 124, -137, 153, -166, 182, -195, 211, -224, -232, 240, -253, 269, -282, 298, -311, 327, -340, 356, -369, 385, -398]
-413 : [7, -22, 36, -51, 65, -80, 94, -109, 123, -138, 152, -167, 181, -196, -203, 210, -225, 239, -254, 268, -283, 297, -312, 326, -341, 355, -370, 384, -399]
-412 : [6, -23, 35, -52, 64, -81, 93, -110, 122, -139, 151, -168, -174, 180, -197, 209, -226, 238, -255, 267, -284, 296, -313, 325, -342, 354, -371, 383, -400]
-411 : [5, -24, 34, -53, 63, -82, 92, -111, 121, -140, -145, 150, -169, 179, -198, 208, -227, 237, -256, 266, -285, 295, -314, 324, -343, 353, -372, 382, -401]
-410 : [4, -25, 33, -54, 62, -83, 91, -112, -116, 120, -141, 149, -170, 178, -199, 207, -228, 236, -257, 265, -286, 294, -315, 323, -344, 352, -373, 381, -402]
-409 : [3, -26, 32, -55, 61, -84, -87, 90, -113, 119, -142, 148, -171, 177, -200, 206, -229, 235, -258, 264, -287, 293, -316, 322, -345, 351, -374, 380, -403]
-408 : [2, -27, 31, -56, -58, 60, -85, 89, -114, 118, -143, 147, -172, 176, -201, 205, -230, 234, -259, 263, -288, 292, -317, 321, -346, 350, -375, 379, -404]
-407 : [1, -28, -29, 30, -57, 59, -86, 88, -115, 117, -144, 146, -173, 175, -202, 204, -231, 233, -260, 262, -289, 291, -318, 320, -347, 349, -376, 378, -405]
