Maximum values for m = 169 and d = 7:
79 = (-1, -14, -27, -40, -53, -66, 77, 64, 51, 38, 25, 13, 12)
80 = (-2, -15, -28, -41, -54, -67, 76, 63, 50, 37, 26, 24, 11)
81 = (-3, -16, -29, -42, -55, -68, 75, 62, 49, 39, 36, 23, 10)
82 = (-4, -17, -30, -43, -56, -69, 74, 61, 52, 48, 35, 22, 9)
83 = (-5, -18, -31, -44, -57, -70, 73, 65, 60, 47, 34, 21, 8)
84 = (-6, -19, -32, -45, -58, -71, 78, 72, 59, 46, 33, 20, 7)
-84 = (-7, -20, -33, -46, -59, -72, -78, 71, 58, 45, 32, 19, 6)
-83 = (-8, -21, -34, -47, -60, -65, -73, 70, 57, 44, 31, 18, 5)
-82 = (-9, -22, -35, -48, -52, -61, -74, 69, 56, 43, 30, 17, 4)
-81 = (-10, -23, -36, -39, -49, -62, -75, 68, 55, 42, 29, 16, 3)
-80 = (-11, -24, -26, -37, -50, -63, -76, 67, 54, 41, 28, 15, 2)
-79 = (-12, -13, -25, -38, -51, -64, -77, 66, 53, 40, 27, 14, 1)
