Maximum values for m = 289 and d = 9:
137 : [-1, 16, 17, -18, 33, -35, 50, -52, 67, -69, 84, -86, 101, -103, 118, -120, 135]
138 : [-2, 15, -19, 32, 34, -36, 49, -53, 66, -70, 83, -87, 100, -104, 117, -121, 134]
139 : [-3, 14, -20, 31, -37, 48, 51, -54, 65, -71, 82, -88, 99, -105, 116, -122, 133]
140 : [-4, 13, -21, 30, -38, 47, -55, 64, 68, -72, 81, -89, 98, -106, 115, -123, 132]
141 : [-5, 12, -22, 29, -39, 46, -56, 63, -73, 80, 85, -90, 97, -107, 114, -124, 131]
142 : [-6, 11, -23, 28, -40, 45, -57, 62, -74, 79, -91, 96, 102, -108, 113, -125, 130]
143 : [-7, 10, -24, 27, -41, 44, -58, 61, -75, 78, -92, 95, -109, 112, 119, -126, 129]
144 : [-8, 9, -25, 26, -42, 43, -59, 60, -76, 77, -93, 94, -110, 111, -127, 128, 136]
-144 : [8, -9, 25, -26, 42, -43, 59, -60, 76, -77, 93, -94, 110, -111, 127, -128, -136]
-143 : [7, -10, 24, -27, 41, -44, 58, -61, 75, -78, 92, -95, 109, -112, -119, 126, -129]
-142 : [6, -11, 23, -28, 40, -45, 57, -62, 74, -79, 91, -96, -102, 108, -113, 125, -130]
-141 : [5, -12, 22, -29, 39, -46, 56, -63, 73, -80, -85, 90, -97, 107, -114, 124, -131]
-140 : [4, -13, 21, -30, 38, -47, 55, -64, -68, 72, -81, 89, -98, 106, -115, 123, -132]
-139 : [3, -14, 20, -31, 37, -48, -51, 54, -65, 71, -82, 88, -99, 105, -116, 122, -133]
-138 : [2, -15, 19, -32, -34, 36, -49, 53, -66, 70, -83, 87, -100, 104, -117, 121, -134]
-137 : [1, -16, -17, 18, -33, 35, -50, 52, -67, 69, -84, 86, -101, 103, -118, 120, -135]
