Maximum values for m = 1681 and d = 21:
821 : [-1, 40, 41, -42, 81, -83, 122, -124, 163, -165, 204, -206, 245, -247, 286, -288, 327, -329, 368, -370, 409, -411, 450, -452, 491, -493, 532, -534, 573, -575, 614, -616, 655, -657, 696, -698, 737, -739, 778, -780, 819]
822 : [-2, 39, -43, 80, 82, -84, 121, -125, 162, -166, 203, -207, 244, -248, 285, -289, 326, -330, 367, -371, 408, -412, 449, -453, 490, -494, 531, -535, 572, -576, 613, -617, 654, -658, 695, -699, 736, -740, 777, -781, 818]
823 : [-3, 38, -44, 79, -85, 120, 123, -126, 161, -167, 202, -208, 243, -249, 284, -290, 325, -331, 366, -372, 407, -413, 448, -454, 489, -495, 530, -536, 571, -577, 612, -618, 653, -659, 694, -700, 735, -741, 776, -782, 817]
824 : [-4, 37, -45, 78, -86, 119, -127, 160, 164, -168, 201, -209, 242, -250, 283, -291, 324, -332, 365, -373, 406, -414, 447, -455, 488, -496, 529, -537, 570, -578, 611, -619, 652, -660, 693, -701, 734, -742, 775, -783, 816]
825 : [-5, 36, -46, 77, -87, 118, -128, 159, -169, 200, 205, -210, 241, -251, 282, -292, 323, -333, 364, -374, 405, -415, 446, -456, 487, -497, 528, -538, 569, -579, 610, -620, 651, -661, 692, -702, 733, -743, 774, -784, 815]
826 : [-6, 35, -47, 76, -88, 117, -129, 158, -170, 199, -211, 240, 246, -252, 281, -293, 322, -334, 363, -375, 404, -416, 445, -457, 486, -498, 527, -539, 568, -580, 609, -621, 650, -662, 691, -703, 732, -744, 773, -785, 814]
827 : [-7, 34, -48, 75, -89, 116, -130, 157, -171, 198, -212, 239, -253, 280, 287, -294, 321, -335, 362, -376, 403, -417, 444, -458, 485, -499, 526, -540, 567, -581, 608, -622, 649, -663, 690, -704, 731, -745, 772, -786, 813]
828 : [-8, 33, -49, 74, -90, 115, -131, 156, -172, 197, -213, 238, -254, 279, -295, 320, 328, -336, 361, -377, 402, -418, 443, -459, 484, -500, 525, -541, 566, -582, 607, -623, 648, -664, 689, -705, 730, -746, 771, -787, 812]
829 : [-9, 32, -50, 73, -91, 114, -132, 155, -173, 196, -214, 237, -255, 278, -296, 319, -337, 360, 369, -378, 401, -419, 442, -460, 483, -501, 524, -542, 565, -583, 606, -624, 647, -665, 688, -706, 729, -747, 770, -788, 811]
830 : [-10, 31, -51, 72, -92, 113, -133, 154, -174, 195, -215, 236, -256, 277, -297, 318, -338, 359, -379, 400, 410, -420, 441, -461, 482, -502, 523, -543, 564, -584, 605, -625, 646, -666, 687, -707, 728, -748, 769, -789, 810]
831 : [-11, 30, -52, 71, -93, 112, -134, 153, -175, 194, -216, 235, -257, 276, -298, 317, -339, 358, -380, 399, -421, 440, 451, -462, 481, -503, 522, -544, 563, -585, 604, -626, 645, -667, 686, -708, 727, -749, 768, -790, 809]
832 : [-12, 29, -53, 70, -94, 111, -135, 152, -176, 193, -217, 234, -258, 275, -299, 316, -340, 357, -381, 398, -422, 439, -463, 480, 492, -504, 521, -545, 562, -586, 603, -627, 644, -668, 685, -709, 726, -750, 767, -791, 808]
