The program took 47.98813486099243 seconds to complete.
The number of tuple(s) in the V set is: 78
The number of tuple(s) in the E set is: 78
The number of tuple(s) with no pairs is: 78
The number of indecomposable tuple(s) is: 78

The tuples in the V set are:
(1, 80, 159, 234)
(2, 81, 160, 231)
(3, 78, 157, 236)
(3, 82, 161, 228)
(4, 83, 162, 225)
(5, 84, 163, 222)
(6, 77, 156, 235)
(6, 85, 164, 219)
(7, 86, 165, 216)
(8, 87, 166, 213)
(9, 76, 155, 234)
(9, 88, 167, 210)
(10, 89, 168, 207)
(11, 90, 169, 204)
(12, 75, 154, 233)
(12, 91, 170, 201)
(13, 92, 171, 198)
(14, 93, 172, 195)
(15, 74, 153, 232)
(15, 94, 173, 192)
(16, 95, 174, 189)
(17, 96, 175, 186)
(18, 73, 152, 231)
(18, 97, 176, 183)
(19, 98, 177, 180)
(20, 99, 177, 178)
(21, 72, 151, 230)
(21, 100, 174, 179)
(22, 101, 171, 180)
(23, 102, 168, 181)
(24, 71, 150, 229)
(24, 103, 165, 182)
(25, 104, 162, 183)
(26, 105, 159, 184)
(27, 70, 149, 228)
(27, 106, 156, 185)
(28, 107, 153, 186)
(29, 108, 150, 187)
(30, 69, 148, 227)
(30, 109, 147, 188)
(31, 110, 144, 189)
(32, 111, 141, 190)
(33, 68, 147, 226)
(33, 112, 138, 191)
(34, 113, 135, 192)
(35, 114, 132, 193)
(36, 67, 146, 225)
(36, 115, 129, 194)
(37, 116, 126, 195)
(38, 117, 123, 196)
(39, 66, 145, 224)
(39, 118, 120, 197)
(40, 117, 119, 198)
(41, 114, 120, 199)
(42, 65, 144, 223)
(42, 111, 121, 200)
(43, 108, 122, 201)
(44, 105, 123, 202)
(45, 64, 143, 222)
(45, 102, 124, 203)
(46, 99, 125, 204)
(47, 96, 126, 205)
(48, 63, 142, 221)
(48, 93, 127, 206)
(49, 90, 128, 207)
(50, 87, 129, 208)
(51, 62, 141, 220)
(51, 84, 130, 209)
(52, 81, 131, 210)
(53, 78, 132, 211)
(54, 61, 140, 219)
(54, 75, 133, 212)
(55, 72, 134, 213)
(56, 69, 135, 214)
(57, 60, 139, 218)
(57, 66, 136, 215)
(58, 63, 137, 216)
(59, 60, 138, 217)
The number of tuple(s) in the V set is: 78

The indecomposable tuples are:
(1, 80, 159, 234)
(2, 81, 160, 231)
(3, 78, 157, 236)
(3, 82, 161, 228)
(4, 83, 162, 225)
(5, 84, 163, 222)
(6, 77, 156, 235)
(6, 85, 164, 219)
(7, 86, 165, 216)
(8, 87, 166, 213)
(9, 76, 155, 234)
(9, 88, 167, 210)
(10, 89, 168, 207)
(11, 90, 169, 204)
(12, 75, 154, 233)
(12, 91, 170, 201)
(13, 92, 171, 198)
(14, 93, 172, 195)
(15, 74, 153, 232)
(15, 94, 173, 192)
(16, 95, 174, 189)
(17, 96, 175, 186)
(18, 73, 152, 231)
(18, 97, 176, 183)
(19, 98, 177, 180)
(20, 99, 177, 178)
(21, 72, 151, 230)
(21, 100, 174, 179)
(22, 101, 171, 180)
(23, 102, 168, 181)
(24, 71, 150, 229)
(24, 103, 165, 182)
(25, 104, 162, 183)
(26, 105, 159, 184)
(27, 70, 149, 228)
(27, 106, 156, 185)
(28, 107, 153, 186)
(29, 108, 150, 187)
(30, 69, 148, 227)
(30, 109, 147, 188)
(31, 110, 144, 189)
(32, 111, 141, 190)
(33, 68, 147, 226)
(33, 112, 138, 191)
(34, 113, 135, 192)
(35, 114, 132, 193)
(36, 67, 146, 225)
(36, 115, 129, 194)
(37, 116, 126, 195)
(38, 117, 123, 196)
(39, 66, 145, 224)
(39, 118, 120, 197)
(40, 117, 119, 198)
(41, 114, 120, 199)
(42, 65, 144, 223)
(42, 111, 121, 200)
(43, 108, 122, 201)
(44, 105, 123, 202)
(45, 64, 143, 222)
(45, 102, 124, 203)
(46, 99, 125, 204)
(47, 96, 126, 205)
(48, 63, 142, 221)
(48, 93, 127, 206)
(49, 90, 128, 207)
(50, 87, 129, 208)
(51, 62, 141, 220)
(51, 84, 130, 209)
(52, 81, 131, 210)
(53, 78, 132, 211)
(54, 61, 140, 219)
(54, 75, 133, 212)
(55, 72, 134, 213)
(56, 69, 135, 214)
(57, 60, 139, 218)
(57, 66, 136, 215)
(58, 63, 137, 216)
(59, 60, 138, 217)
The number of indecomposable tuple(s) is: 78
