The program took 36.93236541748047 seconds to complete.
The number of tuple(s) in the V set is: 72
The number of tuple(s) in the E set is: 72
The number of tuple(s) with no pairs is: 72
The number of indecomposable tuple(s) is: 72

The tuples in the V set are:
(1, 74, 147, 216)
(2, 75, 148, 213)
(3, 72, 145, 218)
(3, 76, 149, 210)
(4, 77, 150, 207)
(5, 78, 151, 204)
(6, 71, 144, 217)
(6, 79, 152, 201)
(7, 80, 153, 198)
(8, 81, 154, 195)
(9, 70, 143, 216)
(9, 82, 155, 192)
(10, 83, 156, 189)
(11, 84, 157, 186)
(12, 69, 142, 215)
(12, 85, 158, 183)
(13, 86, 159, 180)
(14, 87, 160, 177)
(15, 68, 141, 214)
(15, 88, 161, 174)
(16, 89, 162, 171)
(17, 90, 163, 168)
(18, 67, 140, 213)
(18, 91, 164, 165)
(19, 92, 162, 165)
(20, 93, 159, 166)
(21, 66, 139, 212)
(21, 94, 156, 167)
(22, 95, 153, 168)
(23, 96, 150, 169)
(24, 65, 138, 211)
(24, 97, 147, 170)
(25, 98, 144, 171)
(26, 99, 141, 172)
(27, 64, 137, 210)
(27, 100, 138, 173)
(28, 101, 135, 174)
(29, 102, 132, 175)
(30, 63, 136, 209)
(30, 103, 129, 176)
(31, 104, 126, 177)
(32, 105, 123, 178)
(33, 62, 135, 208)
(33, 106, 120, 179)
(34, 107, 117, 180)
(35, 108, 114, 181)
(36, 61, 134, 207)
(36, 109, 111, 182)
(37, 108, 110, 183)
(38, 105, 111, 184)
(39, 60, 133, 206)
(39, 102, 112, 185)
(40, 99, 113, 186)
(41, 96, 114, 187)
(42, 59, 132, 205)
(42, 93, 115, 188)
(43, 90, 116, 189)
(44, 87, 117, 190)
(45, 58, 131, 204)
(45, 84, 118, 191)
(46, 81, 119, 192)
(47, 78, 120, 193)
(48, 57, 130, 203)
(48, 75, 121, 194)
(49, 72, 122, 195)
(50, 69, 123, 196)
(51, 56, 129, 202)
(51, 66, 124, 197)
(52, 63, 125, 198)
(53, 60, 126, 199)
(54, 55, 128, 201)
(54, 57, 127, 200)
The number of tuple(s) in the V set is: 72

The indecomposable tuples are:
(1, 74, 147, 216)
(2, 75, 148, 213)
(3, 72, 145, 218)
(3, 76, 149, 210)
(4, 77, 150, 207)
(5, 78, 151, 204)
(6, 71, 144, 217)
(6, 79, 152, 201)
(7, 80, 153, 198)
(8, 81, 154, 195)
(9, 70, 143, 216)
(9, 82, 155, 192)
(10, 83, 156, 189)
(11, 84, 157, 186)
(12, 69, 142, 215)
(12, 85, 158, 183)
(13, 86, 159, 180)
(14, 87, 160, 177)
(15, 68, 141, 214)
(15, 88, 161, 174)
(16, 89, 162, 171)
(17, 90, 163, 168)
(18, 67, 140, 213)
(18, 91, 164, 165)
(19, 92, 162, 165)
(20, 93, 159, 166)
(21, 66, 139, 212)
(21, 94, 156, 167)
(22, 95, 153, 168)
(23, 96, 150, 169)
(24, 65, 138, 211)
(24, 97, 147, 170)
(25, 98, 144, 171)
(26, 99, 141, 172)
(27, 64, 137, 210)
(27, 100, 138, 173)
(28, 101, 135, 174)
(29, 102, 132, 175)
(30, 63, 136, 209)
(30, 103, 129, 176)
(31, 104, 126, 177)
(32, 105, 123, 178)
(33, 62, 135, 208)
(33, 106, 120, 179)
(34, 107, 117, 180)
(35, 108, 114, 181)
(36, 61, 134, 207)
(36, 109, 111, 182)
(37, 108, 110, 183)
(38, 105, 111, 184)
(39, 60, 133, 206)
(39, 102, 112, 185)
(40, 99, 113, 186)
(41, 96, 114, 187)
(42, 59, 132, 205)
(42, 93, 115, 188)
(43, 90, 116, 189)
(44, 87, 117, 190)
(45, 58, 131, 204)
(45, 84, 118, 191)
(46, 81, 119, 192)
(47, 78, 120, 193)
(48, 57, 130, 203)
(48, 75, 121, 194)
(49, 72, 122, 195)
(50, 69, 123, 196)
(51, 56, 129, 202)
(51, 66, 124, 197)
(52, 63, 125, 198)
(53, 60, 126, 199)
(54, 55, 128, 201)
(54, 57, 127, 200)
The number of indecomposable tuple(s) is: 72
