For m = 169 and d = 7
The program took 0.0010118484497070312 seconds to complete. 
The number of indecomposable tuple(s) is: 12

The indecomposable tuples are:
(1, 14, 27, 40, 53, 66, 79, -77, -64, -51, -38, -25, -13, -12) -> max value: 79
(2, 15, 28, 41, 54, 67, 80, -76, -63, -50, -37, -26, -24, -11) -> max value: 80
(3, 16, 29, 42, 55, 68, 81, -75, -62, -49, -39, -36, -23, -10) -> max value: 81
(4, 17, 30, 43, 56, 69, 82, -74, -61, -52, -48, -35, -22, -9) -> max value: 82
(5, 18, 31, 44, 57, 70, 83, -73, -65, -60, -47, -34, -21, -8) -> max value: 83
(6, 19, 32, 45, 58, 71, 84, -78, -72, -59, -46, -33, -20, -7) -> max value: 84
(7, 20, 33, 46, 59, 72, 78, -84, -71, -58, -45, -32, -19, -6) -> max value: -84
(8, 21, 34, 47, 60, 65, 73, -83, -70, -57, -44, -31, -18, -5) -> max value: -83
(9, 22, 35, 48, 52, 61, 74, -82, -69, -56, -43, -30, -17, -4) -> max value: -82
(10, 23, 36, 39, 49, 62, 75, -81, -68, -55, -42, -29, -16, -3) -> max value: -81
(11, 24, 26, 37, 50, 63, 76, -80, -67, -54, -41, -28, -15, -2) -> max value: -80
(12, 13, 25, 38, 51, 64, 77, -79, -66, -53, -40, -27, -14, -1) -> max value: -79
