For m = 961 and d = 16
The program took 0.001990795135498047 seconds to complete. 
The number of indecomposable tuple(s) is: 30

The indecomposable tuples are:
(1, 32, 63, 94, 125, 156, 187, 218, 249, 280, 311, 342, 373, 404, 435, 466, -464, -433, -402, -371, -340, -309, -278, -247, -216, -185, -154, -123, -92, -61, -31, -30) -> max value: 466
(2, 33, 64, 95, 126, 157, 188, 219, 250, 281, 312, 343, 374, 405, 436, 467, -463, -432, -401, -370, -339, -308, -277, -246, -215, -184, -153, -122, -91, -62, -60, -29) -> max value: 467
(3, 34, 65, 96, 127, 158, 189, 220, 251, 282, 313, 344, 375, 406, 437, 468, -462, -431, -400, -369, -338, -307, -276, -245, -214, -183, -152, -121, -93, -90, -59, -28) -> max value: 468
(4, 35, 66, 97, 128, 159, 190, 221, 252, 283, 314, 345, 376, 407, 438, 469, -461, -430, -399, -368, -337, -306, -275, -244, -213, -182, -151, -124, -120, -89, -58, -27) -> max value: 469
(5, 36, 67, 98, 129, 160, 191, 222, 253, 284, 315, 346, 377, 408, 439, 470, -460, -429, -398, -367, -336, -305, -274, -243, -212, -181, -155, -150, -119, -88, -57, -26) -> max value: 470
(6, 37, 68, 99, 130, 161, 192, 223, 254, 285, 316, 347, 378, 409, 440, 471, -459, -428, -397, -366, -335, -304, -273, -242, -211, -186, -180, -149, -118, -87, -56, -25) -> max value: 471
(7, 38, 69, 100, 131, 162, 193, 224, 255, 286, 317, 348, 379, 410, 441, 472, -458, -427, -396, -365, -334, -303, -272, -241, -217, -210, -179, -148, -117, -86, -55, -24) -> max value: 472
(8, 39, 70, 101, 132, 163, 194, 225, 256, 287, 318, 349, 380, 411, 442, 473, -457, -426, -395, -364, -333, -302, -271, -248, -240, -209, -178, -147, -116, -85, -54, -23) -> max value: 473
(9, 40, 71, 102, 133, 164, 195, 226, 257, 288, 319, 350, 381, 412, 443, 474, -456, -425, -394, -363, -332, -301, -279, -270, -239, -208, -177, -146, -115, -84, -53, -22) -> max value: 474
(10, 41, 72, 103, 134, 165, 196, 227, 258, 289, 320, 351, 382, 413, 444, 475, -455, -424, -393, -362, -331, -310, -300, -269, -238, -207, -176, -145, -114, -83, -52, -21) -> max value: 475
(11, 42, 73, 104, 135, 166, 197, 228, 259, 290, 321, 352, 383, 414, 445, 476, -454, -423, -392, -361, -341, -330, -299, -268, -237, -206, -175, -144, -113, -82, -51, -20) -> max value: 476
(12, 43, 74, 105, 136, 167, 198, 229, 260, 291, 322, 353, 384, 415, 446, 477, -453, -422, -391, -372, -360, -329, -298, -267, -236, -205, -174, -143, -112, -81, -50, -19) -> max value: 477
(13, 44, 75, 106, 137, 168, 199, 230, 261, 292, 323, 354, 385, 416, 447, 478, -452, -421, -403, -390, -359, -328, -297, -266, -235, -204, -173, -142, -111, -80, -49, -18) -> max value: 478
(14, 45, 76, 107, 138, 169, 200, 231, 262, 293, 324, 355, 386, 417, 448, 479, -451, -434, -420, -389, -358, -327, -296, -265, -234, -203, -172, -141, -110, -79, -48, -17) -> max value: 479
(15, 46, 77, 108, 139, 170, 201, 232, 263, 294, 325, 356, 387, 418, 449, 480, -465, -450, -419, -388, -357, -326, -295, -264, -233, -202, -171, -140, -109, -78, -47, -16) -> max value: 480
(16, 47, 78, 109, 140, 171, 202, 233, 264, 295, 326, 357, 388, 419, 450, 465, -480, -449, -418, -387, -356, -325, -294, -263, -232, -201, -170, -139, -108, -77, -46, -15) -> max value: -480
(17, 48, 79, 110, 141, 172, 203, 234, 265, 296, 327, 358, 389, 420, 434, 451, -479, -448, -417, -386, -355, -324, -293, -262, -231, -200, -169, -138, -107, -76, -45, -14) -> max value: -479
(18, 49, 80, 111, 142, 173, 204, 235, 266, 297, 328, 359, 390, 403, 421, 452, -478, -447, -416, -385, -354, -323, -292, -261, -230, -199, -168, -137, -106, -75, -44, -13) -> max value: -478
(19, 50, 81, 112, 143, 174, 205, 236, 267, 298, 329, 360, 372, 391, 422, 453, -477, -446, -415, -384, -353, -322, -291, -260, -229, -198, -167, -136, -105, -74, -43, -12) -> max value: -477
(20, 51, 82, 113, 144, 175, 206, 237, 268, 299, 330, 341, 361, 392, 423, 454, -476, -445, -414, -383, -352, -321, -290, -259, -228, -197, -166, -135, -104, -73, -42, -11) -> max value: -476
(21, 52, 83, 114, 145, 176, 207, 238, 269, 300, 310, 331, 362, 393, 424, 455, -475, -444, -413, -382, -351, -320, -289, -258, -227, -196, -165, -134, -103, -72, -41, -10) -> max value: -475
(22, 53, 84, 115, 146, 177, 208, 239, 270, 279, 301, 332, 363, 394, 425, 456, -474, -443, -412, -381, -350, -319, -288, -257, -226, -195, -164, -133, -102, -71, -40, -9) -> max value: -474
(23, 54, 85, 116, 147, 178, 209, 240, 248, 271, 302, 333, 364, 395, 426, 457, -473, -442, -411, -380, -349, -318, -287, -256, -225, -194, -163, -132, -101, -70, -39, -8) -> max value: -473
(24, 55, 86, 117, 148, 179, 210, 217, 241, 272, 303, 334, 365, 396, 427, 458, -472, -441, -410, -379, -348, -317, -286, -255, -224, -193, -162, -131, -100, -69, -38, -7) -> max value: -472
(25, 56, 87, 118, 149, 180, 186, 211, 242, 273, 304, 335, 366, 397, 428, 459, -471, -440, -409, -378, -347, -316, -285, -254, -223, -192, -161, -130, -99, -68, -37, -6) -> max value: -471
(26, 57, 88, 119, 150, 155, 181, 212, 243, 274, 305, 336, 367, 398, 429, 460, -470, -439, -408, -377, -346, -315, -284, -253, -222, -191, -160, -129, -98, -67, -36, -5) -> max value: -470
(27, 58, 89, 120, 124, 151, 182, 213, 244, 275, 306, 337, 368, 399, 430, 461, -469, -438, -407, -376, -345, -314, -283, -252, -221, -190, -159, -128, -97, -66, -35, -4) -> max value: -469
(28, 59, 90, 93, 121, 152, 183, 214, 245, 276, 307, 338, 369, 400, 431, 462, -468, -437, -406, -375, -344, -313, -282, -251, -220, -189, -158, -127, -96, -65, -34, -3) -> max value: -468
(29, 60, 62, 91, 122, 153, 184, 215, 246, 277, 308, 339, 370, 401, 432, 463, -467, -436, -405, -374, -343, -312, -281, -250, -219, -188, -157, -126, -95, -64, -33, -2) -> max value: -467
(30, 31, 61, 92, 123, 154, 185, 216, 247, 278, 309, 340, 371, 402, 433, 464, -466, -435, -404, -373, -342, -311, -280, -249, -218, -187, -156, -125, -94, -63, -32, -1) -> max value: -466
