1,22,43,64,85,106,127,148,169,190,211,232,253,274,295,316,337,358,379,400,420,421
2,23,44,65,86,107,128,149,170,191,212,233,254,275,296,317,338,359,380,399,401,422
3,24,45,66,87,108,129,150,171,192,213,234,255,276,297,318,339,360,378,381,402,423
4,25,46,67,88,109,130,151,172,193,214,235,256,277,298,319,340,357,361,382,403,424
5,26,47,68,89,110,131,152,173,194,215,236,257,278,299,320,336,341,362,383,404,425
6,27,48,69,90,111,132,153,174,195,216,237,258,279,300,315,321,342,363,384,405,426
7,28,49,70,91,112,133,154,175,196,217,238,259,280,294,301,322,343,364,385,406,427
8,29,50,71,92,113,134,155,176,197,218,239,260,273,281,302,323,344,365,386,407,428
9,30,51,72,93,114,135,156,177,198,219,240,252,261,282,303,324,345,366,387,408,429
10,31,52,73,94,115,136,157,178,199,220,231,241,262,283,304,325,346,367,388,409,430
11,32,53,74,95,116,137,158,179,200,210,221,242,263,284,305,326,347,368,389,410,431
12,33,54,75,96,117,138,159,180,189,201,222,243,264,285,306,327,348,369,390,411,432
13,34,55,76,97,118,139,160,168,181,202,223,244,265,286,307,328,349,370,391,412,433
14,35,56,77,98,119,140,147,161,182,203,224,245,266,287,308,329,350,371,392,413,434
15,36,57,78,99,120,126,141,162,183,204,225,246,267,288,309,330,351,372,393,414,435
16,37,58,79,100,105,121,142,163,184,205,226,247,268,289,310,331,352,373,394,415,436
17,38,59,80,84,101,122,143,164,185,206,227,248,269,290,311,332,353,374,395,416,437
18,39,60,63,81,102,123,144,165,186,207,228,249,270,291,312,333,354,375,396,417,438
19,40,42,61,82,103,124,145,166,187,208,229,250,271,292,313,334,355,376,397,418,439
20,21,41,62,83,104,125,146,167,188,209,230,251,272,293,314,335,356,377,398,419,440
