1,32,63,94,125,156,187,218,249,280,311,342,373,404,435,-464,-433,-402,-371,-340,-309,-278,-247,-216,-185,-154,-123,-92,-61,-31,-30
2,33,64,95,126,157,188,219,250,281,312,343,374,405,436,-463,-432,-401,-370,-339,-308,-277,-246,-215,-184,-153,-122,-91,-62,-60,-29
3,34,65,96,127,158,189,220,251,282,313,344,375,406,437,-462,-431,-400,-369,-338,-307,-276,-245,-214,-183,-152,-121,-93,-90,-59,-28
4,35,66,97,128,159,190,221,252,283,314,345,376,407,438,-461,-430,-399,-368,-337,-306,-275,-244,-213,-182,-151,-124,-120,-89,-58,-27
5,36,67,98,129,160,191,222,253,284,315,346,377,408,439,-460,-429,-398,-367,-336,-305,-274,-243,-212,-181,-155,-150,-119,-88,-57,-26
6,37,68,99,130,161,192,223,254,285,316,347,378,409,440,-459,-428,-397,-366,-335,-304,-273,-242,-211,-186,-180,-149,-118,-87,-56,-25
7,38,69,100,131,162,193,224,255,286,317,348,379,410,441,-458,-427,-396,-365,-334,-303,-272,-241,-217,-210,-179,-148,-117,-86,-55,-24
8,39,70,101,132,163,194,225,256,287,318,349,380,411,442,-457,-426,-395,-364,-333,-302,-271,-248,-240,-209,-178,-147,-116,-85,-54,-23
9,40,71,102,133,164,195,226,257,288,319,350,381,412,443,-456,-425,-394,-363,-332,-301,-279,-270,-239,-208,-177,-146,-115,-84,-53,-22
10,41,72,103,134,165,196,227,258,289,320,351,382,413,444,-455,-424,-393,-362,-331,-310,-300,-269,-238,-207,-176,-145,-114,-83,-52,-21
11,42,73,104,135,166,197,228,259,290,321,352,383,414,445,-454,-423,-392,-361,-341,-330,-299,-268,-237,-206,-175,-144,-113,-82,-51,-20
12,43,74,105,136,167,198,229,260,291,322,353,384,415,446,-453,-422,-391,-372,-360,-329,-298,-267,-236,-205,-174,-143,-112,-81,-50,-19
13,44,75,106,137,168,199,230,261,292,323,354,385,416,447,-452,-421,-403,-390,-359,-328,-297,-266,-235,-204,-173,-142,-111,-80,-49,-18
14,45,76,107,138,169,200,231,262,293,324,355,386,417,448,-451,-434,-420,-389,-358,-327,-296,-265,-234,-203,-172,-141,-110,-79,-48,-17
15,46,77,108,139,170,201,232,263,294,325,356,387,418,449,-465,-450,-419,-388,-357,-326,-295,-264,-233,-202,-171,-140,-109,-78,-47,-16
