1,24,47,70,93,116,139,162,185,208,231,-252,-229,-206,-183,-160,-137,-114,-91,-68,-45,-23,-22
2,25,48,71,94,117,140,163,186,209,232,-251,-228,-205,-182,-159,-136,-113,-90,-67,-46,-44,-21
3,26,49,72,95,118,141,164,187,210,233,-250,-227,-204,-181,-158,-135,-112,-89,-69,-66,-43,-20
4,27,50,73,96,119,142,165,188,211,234,-249,-226,-203,-180,-157,-134,-111,-92,-88,-65,-42,-19
5,28,51,74,97,120,143,166,189,212,235,-248,-225,-202,-179,-156,-133,-115,-110,-87,-64,-41,-18
6,29,52,75,98,121,144,167,190,213,236,-247,-224,-201,-178,-155,-138,-132,-109,-86,-63,-40,-17
7,30,53,76,99,122,145,168,191,214,237,-246,-223,-200,-177,-161,-154,-131,-108,-85,-62,-39,-16
8,31,54,77,100,123,146,169,192,215,238,-245,-222,-199,-184,-176,-153,-130,-107,-84,-61,-38,-15
9,32,55,78,101,124,147,170,193,216,239,-244,-221,-207,-198,-175,-152,-129,-106,-83,-60,-37,-14
10,33,56,79,102,125,148,171,194,217,240,-243,-230,-220,-197,-174,-151,-128,-105,-82,-59,-36,-13
11,34,57,80,103,126,149,172,195,218,241,-253,-242,-219,-196,-173,-150,-127,-104,-81,-58,-35,-12
